"0%","Puzzle ID:Puzzle Name","Author","XP<br><small>(before v21.0)</small>","<span typeof=""mw:File""><a href=""/wiki/Levelling#Experience"" title=""Levelling""><img alt=""Experience"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element ls-is-cached lazyloaded"" data-image-name=""Experience.png"" data-image-key=""Experience.png"" data-relevant=""1"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940""></a></span><br>XP","<span typeof=""mw:File""><a href=""/wiki/MP"" title=""MP""><img alt=""Mental power"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloaded"" data-image-name=""Mental power.png"" data-image-key=""Mental_power.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930""></a></span><br>MP","Size","Category 1","Category 2","Puzzle<br>type","Added"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-48-4"" data-testid=""checkbox-48"" data-tpt-row-id=""47854"" data-table-id=""4""> <label for=""checkbox-48-4""></label> </p> </div>","[#47854:ucdevs]","Alexroma5","2690","2465","50","80x80","Dragons","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","49"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-49-4"" data-testid=""checkbox-49"" data-tpt-row-id=""62993"" data-table-id=""4""> <label for=""checkbox-49-4""></label> </p> </div>","[#62993: Satori Komeiji]","SonyNel","2680","2474","50","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","50"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-50-4"" data-testid=""checkbox-50"" data-tpt-row-id=""86706"" data-table-id=""4""> <label for=""checkbox-50-4""></label> </p> </div>","[#86706:CHUNITHM""Astraea""]","KSK_Shizuno","2911","2687","54","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","51"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-51-4"" data-testid=""checkbox-51"" data-tpt-row-id=""34376"" data-table-id=""4""> <label for=""checkbox-51-4""></label> </p> </div>","[#34376:Spanish' castle]","stoerne","2233","2061","42","80x80","Houses","History","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","52"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-52-4"" data-testid=""checkbox-52"" data-tpt-row-id=""145108"" data-table-id=""4""> <label for=""checkbox-52-4""></label> </p> </div>","[#145108:Dragon]","AJ7411","2842","2624","53","80x80","Dragons","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","53"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-53-4"" data-testid=""checkbox-53"" data-tpt-row-id=""92880"" data-table-id=""4""> <label for=""checkbox-53-4""></label> </p> </div>","[#92880:Fubuki (One Punch Man)]","Swapnil Bankar","2286","2110","43","80x80","Anime","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","54"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-54-4"" data-testid=""checkbox-54"" data-tpt-row-id=""155515"" data-table-id=""4""> <label for=""checkbox-54-4""></label> </p> </div>","[#155515:+++Squares 107]","kata57","2232","2232","45","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","55"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-55-4"" data-testid=""checkbox-55"" data-tpt-row-id=""171062"" data-table-id=""4""> <label for=""checkbox-55-4""></label> </p> </div>","[#171062:Chessboard]","Marcopei","2618","2416","49","80x80","Games","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","56"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-56-4"" data-testid=""checkbox-56"" data-tpt-row-id=""159008"" data-table-id=""4""> <label for=""checkbox-56-4""></label> </p> </div>","[#159008:Tanjiro]","the agreste","2647","2443","49","80x80","Anime","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","57"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-57-4"" data-testid=""checkbox-57"" data-tpt-row-id=""40278"" data-table-id=""4""> <label for=""checkbox-57-4""></label> </p> </div>","[#40278:Somewhere in Venice]","belko61","2374","2374","48","80x80","Houses","Around","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","58"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-58-4"" data-testid=""checkbox-58"" data-tpt-row-id=""148157"" data-table-id=""4""> <label for=""checkbox-58-4""></label> </p> </div>","[#148157:OOT Triforce]","Rv_","2554","2341","47","80x80","Video","Symbols","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","59"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-59-4"" data-testid=""checkbox-59"" data-tpt-row-id=""118383"" data-table-id=""4""> <label for=""checkbox-59-4""></label> </p> </div>","[#118383:Cosmonautics Day April 12]","Malevich)","2153","2153","60","80x80","People","Space","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","60"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-60-4"" data-testid=""checkbox-60"" data-tpt-row-id=""49140"" data-table-id=""4""> <label for=""checkbox-60-4""></label> </p> </div>","[#49140:Little Red Riding Hood]","Alexroma5","2103","2103","43","80x80","Cartoon","Fantasy","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","61"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-61-4"" data-testid=""checkbox-61"" data-tpt-row-id=""53394"" data-table-id=""4""> <label for=""checkbox-61-4""></label> </p> </div>","[#53394:Ancient city]","Alexroma5","2517","2307","47","80x80","Houses","Around","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","62"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-62-4"" data-testid=""checkbox-62"" data-tpt-row-id=""61834"" data-table-id=""4""> <label for=""checkbox-62-4""></label> </p> </div>","[#61834:SUDOKU]","unko","2807","2573","52","77x77","Games","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","63"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-63-4"" data-testid=""checkbox-63"" data-tpt-row-id=""169782"" data-table-id=""4""> <label for=""checkbox-63-4""></label> </p> </div>","[#169782:Captain America]","eyco","2271","2096","42","80x76","Cartoon","Super","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","64"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-64-4"" data-testid=""checkbox-64"" data-tpt-row-id=""86690"" data-table-id=""4""> <label for=""checkbox-64-4""></label> </p> </div>","[#86690:Italian street]","Anita Kendrick","3193","2948","59","80x80","Houses","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","65"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-65-4"" data-testid=""checkbox-65"" data-tpt-row-id=""86705"" data-table-id=""4""> <label for=""checkbox-65-4""></label> </p> </div>","[#86705:maimai""Otohime""]","KSK_Shizuno","2567","2369","48","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","66"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-66-4"" data-testid=""checkbox-66"" data-tpt-row-id=""115081"" data-table-id=""4""> <label for=""checkbox-66-4""></label> </p> </div>","[#115081:CHUNITHM""Hakobe Naru""]","KSK_Shizuno","2685","2478","50","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","67"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-67-4"" data-testid=""checkbox-67"" data-tpt-row-id=""59377"" data-table-id=""4""> <label for=""checkbox-67-4""></label> </p> </div>","[#59377:Dino egg hatching]","Jobedash","2432","2432","49","80x80","Cartoon","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","68"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-68-4"" data-testid=""checkbox-68"" data-tpt-row-id=""143185"" data-table-id=""4""> <label for=""checkbox-68-4""></label> </p> </div>","[#143185:Sudoku figura]","Woleen","2758","2546","51","77x77","Games","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","69"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-69-4"" data-testid=""checkbox-69"" data-tpt-row-id=""65651"" data-table-id=""4""> <label for=""checkbox-69-4""></label> </p> </div>","[#65651:Fisherman and the Golden Fish]","belko61","2083","2083","42","70x80","Fantasy","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","70"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-70-4"" data-testid=""checkbox-70"" data-tpt-row-id=""102708"" data-table-id=""4""> <label for=""checkbox-70-4""></label> </p> </div>","[#102708:Cat face]","Vincent091","2497","2305","47","80x80","Cats","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","71"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-71-4"" data-testid=""checkbox-71"" data-tpt-row-id=""60614"" data-table-id=""4""> <label for=""checkbox-71-4""></label> </p> </div>","[#60614:Nonograms Katana]","SonyNel","2930","2705","55","80x80","Symbols","Games","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","72"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-72-4"" data-testid=""checkbox-72"" data-tpt-row-id=""65642"" data-table-id=""4""> <label for=""checkbox-72-4""></label> </p> </div>","[#65642:RPG Character]","belko61","2036","2036","41","70x80","Video","Fantasy","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","73"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-73-4"" data-testid=""checkbox-73"" data-tpt-row-id=""102782"" data-table-id=""4""> <label for=""checkbox-73-4""></label> </p> </div>","[#102782:Ilya Muromets]","belko61","2109","2109","43","70x80","Fantasy","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","74"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-74-4"" data-testid=""checkbox-74"" data-tpt-row-id=""79800"" data-table-id=""4""> <label for=""checkbox-74-4""></label> </p> </div>","[#79800:Church]","Alud","2556","2343","47","80x80","Nature","History","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","75"
