"0%","Puzzle ID:Puzzle Name","Author","XP<br><small>(before v21.0)</small>","<span typeof=""mw:File""><a href=""/wiki/Levelling#Experience"" title=""Levelling""><img alt=""Experience"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element ls-is-cached lazyloaded"" data-image-name=""Experience.png"" data-image-key=""Experience.png"" data-relevant=""1"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940""></a></span><br>XP","<span typeof=""mw:File""><a href=""/wiki/MP"" title=""MP""><img alt=""Mental power"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloaded"" data-image-name=""Mental power.png"" data-image-key=""Mental_power.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930""></a></span><br>MP","Size","Category 1","Category 2","Puzzle<br>type","Added"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-10-4"" data-testid=""checkbox-10"" data-tpt-row-id=""86735"" data-table-id=""4""> <label for=""checkbox-10-4""></label> </p> </div>","[#86735:CHUNITHM""Lilyalice Colchicum""]","KSK_Shizuno","3010","2779","56","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","11"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-11-4"" data-testid=""checkbox-11"" data-tpt-row-id=""41624"" data-table-id=""4""> <label for=""checkbox-11-4""></label> </p> </div>","[#41624:Vase with Flowers]","Alexroma5","2737","2509","51","80x80","Flowers","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","12"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-12-4"" data-testid=""checkbox-12"" data-tpt-row-id=""143653"" data-table-id=""4""> <label for=""checkbox-12-4""></label> </p> </div>","[#143653:Wreath]","Blooming Lynx","2641","2421","49","80x80","Cats","Flowers","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","13"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-13-4"" data-testid=""checkbox-13"" data-tpt-row-id=""150291"" data-table-id=""4""> <label for=""checkbox-13-4""></label> </p> </div>","[#150291:Dragon]","DraKay","2587","2388","48","80x80","Dragons","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","14"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-14-4"" data-testid=""checkbox-14"" data-tpt-row-id=""142003"" data-table-id=""4""> <label for=""checkbox-14-4""></label> </p> </div>","[#142003:Swallow on a branch with flowers]","Lisenok_chiffa","2401","2216","45","80x80","Birds","Flowers","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","15"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-15-4"" data-testid=""checkbox-15"" data-tpt-row-id=""165683"" data-table-id=""4""> <label for=""checkbox-15-4""></label> </p> </div>","[#165683:Mickey to catch a thief]","Mitsakos","2422","2236","45","80x80","Cartoon","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","16"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-16-4"" data-testid=""checkbox-16"" data-tpt-row-id=""164892"" data-table-id=""4""> <label for=""checkbox-16-4""></label> </p> </div>","[#164892:Square 10]","Netwale","2092","2092","42","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","17"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-17-4"" data-testid=""checkbox-17"" data-tpt-row-id=""141516"" data-table-id=""4""> <label for=""checkbox-17-4""></label> </p> </div>","[#141516:Spirals]","bobbie420","2059","2059","42","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","18"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-18-4"" data-testid=""checkbox-18"" data-tpt-row-id=""129883"" data-table-id=""4""> <label for=""checkbox-18-4""></label> </p> </div>","[#129883:Snake]","yunzen","2040","2040","41","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","19"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-19-4"" data-testid=""checkbox-19"" data-tpt-row-id=""85835"" data-table-id=""4""> <label for=""checkbox-19-4""></label> </p> </div>","[#85835:Bearclaw]","savrage","3110","2871","58","80x80","Animals","Painting","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","20"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-20-4"" data-testid=""checkbox-20"" data-tpt-row-id=""100443"" data-table-id=""4""> <label for=""checkbox-20-4""></label> </p> </div>","[#100443:Long is the road]","toufraita2","2842","2623","53","80x80","Nature","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","21"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-21-4"" data-testid=""checkbox-21"" data-tpt-row-id=""154317"" data-table-id=""4""> <label for=""checkbox-21-4""></label> </p> </div>","[#154317:Tree]","Dragofly","2616","2415","49","80x80","Plants","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","22"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-22-4"" data-testid=""checkbox-22"" data-tpt-row-id=""153737"" data-table-id=""4""> <label for=""checkbox-22-4""></label> </p> </div>","[#153737:""Ellen Terry at Age Sixteen"" (Cameron)]","Lysy Jan FOX","2398","2398","60","80x80","People","History","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","23"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-23-4"" data-testid=""checkbox-23"" data-tpt-row-id=""58252"" data-table-id=""4""> <label for=""checkbox-23-4""></label> </p> </div>","[#58252:Tarot - AEther Realm]","TheComet811","3693","3409","60","80x80","Painting","Music","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","24"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-24-4"" data-testid=""checkbox-24"" data-tpt-row-id=""87217"" data-table-id=""4""> <label for=""checkbox-24-4""></label> </p> </div>","[#87217:CHUNITHM""Makino Moco""]","KSK_Shizuno","2926","2701","55","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","25"
