"0%","Puzzle ID:Puzzle Name","Author","XP<br><small>(before v21.0)</small>","<span typeof=""mw:File""><a href=""/wiki/Levelling#Experience"" title=""Levelling""><img alt=""Experience"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element"" data-image-name=""Experience.png"" data-image-key=""Experience.png"" data-relevant=""1""></a></span><br>XP","Size","Category 1","Category 2","Puzzle<br>type","Added"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-590-3"" data-testid=""checkbox-590"" data-tpt-row-id=""77007"" data-table-id=""3""> <label for=""checkbox-590-3""></label> </p> </div>","[#77007:Stray Kids]","scalfs","3205","3205","80x80","People","Photorealism","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","591"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-591-3"" data-testid=""checkbox-591"" data-tpt-row-id=""80696"" data-table-id=""3""> <label for=""checkbox-591-3""></label> </p> </div>","[#80696:Spider in the forest]","nadiakaz","3420","3420","80x80","Insects","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","592"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-592-3"" data-testid=""checkbox-592"" data-tpt-row-id=""76486"" data-table-id=""3""> <label for=""checkbox-592-3""></label> </p> </div>","[#76486:Highland Cattle]","gojira","3241","3241","80x80","Animals","Photorealism","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","593"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-593-3"" data-testid=""checkbox-593"" data-tpt-row-id=""76379"" data-table-id=""3""> <label for=""checkbox-593-3""></label> </p> </div>","[#76379:4 in one]","Zipfish","4099","4099","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","594"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-594-3"" data-testid=""checkbox-594"" data-tpt-row-id=""74017"" data-table-id=""3""> <label for=""checkbox-594-3""></label> </p> </div>","[#74017:Zantedeschia]","minkimandola","3566","3269","80x80","Flowers","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","595"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-595-3"" data-testid=""checkbox-595"" data-tpt-row-id=""74074"" data-table-id=""3""> <label for=""checkbox-595-3""></label> </p> </div>","[#74074:Abstract]","Zipfish","4598","4598","80x80","Painting","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","596"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-596-3"" data-testid=""checkbox-596"" data-tpt-row-id=""75845"" data-table-id=""3""> <label for=""checkbox-596-3""></label> </p> </div>","[#75845:Red Demon (NnT)]","Dollyndo","3668","3386","80x80","Anime","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","597"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-597-3"" data-testid=""checkbox-597"" data-tpt-row-id=""195703"" data-table-id=""3""> <label for=""checkbox-597-3""></label> </p> </div>","[#195703:Calvin and Hobbes]","Nononoobie","3041","3041","80x80","Cartoon","Music","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","598"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-598-3"" data-testid=""checkbox-598"" data-tpt-row-id=""5540"" data-table-id=""3""> <label for=""checkbox-598-3""></label> </p> </div>","[#5540:Love]","Natali9524","4007","3699","80x70","Birds","Love","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","599"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-599-3"" data-testid=""checkbox-599"" data-tpt-row-id=""70936"" data-table-id=""3""> <label for=""checkbox-599-3""></label> </p> </div>","[#70936:Ipomoea]","minkimandola","3489","3489","80x80","Flowers","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","600"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-600-3"" data-testid=""checkbox-600"" data-tpt-row-id=""73416"" data-table-id=""3""> <label for=""checkbox-600-3""></label> </p> </div>","[#73416:Uvularia]","minkimandola","3438","3438","80x80","Flowers","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","601"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-601-3"" data-testid=""checkbox-601"" data-tpt-row-id=""174873"" data-table-id=""3""> <label for=""checkbox-601-3""></label> </p> </div>","[#174873:Fox with love]","Jan Kokto","3284","3284","76x73","Kawaii","Animals","None","602"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-602-3"" data-testid=""checkbox-602"" data-tpt-row-id=""70495"" data-table-id=""3""> <label for=""checkbox-602-3""></label> </p> </div>","[#70495:Vegibot 12]","Schaetzli","3328","3328","80x80","Fiction","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","603"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-603-3"" data-testid=""checkbox-603"" data-tpt-row-id=""63586"" data-table-id=""3""> <label for=""checkbox-603-3""></label> </p> </div>","[#63586:Mosaic]","Tirolesa","3287","3287","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","604"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-604-3"" data-testid=""checkbox-604"" data-tpt-row-id=""67647"" data-table-id=""3""> <label for=""checkbox-604-3""></label> </p> </div>","[#67647:Kupidon]","Rinochka","3514","3514","80x80","Unreal","Love","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","605"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-605-3"" data-testid=""checkbox-605"" data-tpt-row-id=""19690"" data-table-id=""3""> <label for=""checkbox-605-3""></label> </p> </div>","[#19690:White Tiger]","Sbjortg","4839","4436","76x80","Animals","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","606"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-606-3"" data-testid=""checkbox-606"" data-tpt-row-id=""60663"" data-table-id=""3""> <label for=""checkbox-606-3""></label> </p> </div>","[#60663:Clock of life]","October","3327","3050","80x80","Smiles","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","607"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-607-3"" data-testid=""checkbox-607"" data-tpt-row-id=""60833"" data-table-id=""3""> <label for=""checkbox-607-3""></label> </p> </div>","[#60833:Quallen (schwer)]","Jessi94","3392","3110","80x80","Fish","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","608"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-608-3"" data-testid=""checkbox-608"" data-tpt-row-id=""61560"" data-table-id=""3""> <label for=""checkbox-608-3""></label> </p> </div>","[#61560:Chameleon]","Spike","4199","4199","80x80","Animals","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","609"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-609-3"" data-testid=""checkbox-609"" data-tpt-row-id=""60544"" data-table-id=""3""> <label for=""checkbox-609-3""></label> </p> </div>","[#60544:Ghost]","Spike","3299","3299","80x80","Cartoon","Movies","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","610"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-610-3"" data-testid=""checkbox-610"" data-tpt-row-id=""157926"" data-table-id=""3""> <label for=""checkbox-610-3""></label> </p> </div>","[#157926:Squares XXXIV]","Urszula","3109","3109","80x80","Designs","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","611"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-611-3"" data-testid=""checkbox-611"" data-tpt-row-id=""49037"" data-table-id=""3""> <label for=""checkbox-611-3""></label> </p> </div>","[#49037:Dragon Drache]","Friia","3354","3354","80x80","Dragons","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","612"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-612-3"" data-testid=""checkbox-612"" data-tpt-row-id=""52619"" data-table-id=""3""> <label for=""checkbox-612-3""></label> </p> </div>","[#52619:Star Wars]","aomao","3603","3303","80x80","Movies","Fiction","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","613"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-613-3"" data-testid=""checkbox-613"" data-tpt-row-id=""96631"" data-table-id=""3""> <label for=""checkbox-613-3""></label> </p> </div>","[#96631:Bumblebee]","Dracob","3369","3369","80x80","Insects","Photorealism","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","614"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-614-3"" data-testid=""checkbox-614"" data-tpt-row-id=""34734"" data-table-id=""3""> <label for=""checkbox-614-3""></label> </p> </div>","[#34734:Lasers 2]","Mirul98","3751","3751","80x80","Science","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","615"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-615-3"" data-testid=""checkbox-615"" data-tpt-row-id=""195852"" data-table-id=""3""> <label for=""checkbox-615-3""></label> </p> </div>","[#195852:Pokemon Fusion]","FuryBreaker","3489","3199","80x80","Video","Super","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","616"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-616-3"" data-testid=""checkbox-616"" data-tpt-row-id=""32284"" data-table-id=""3""> <label for=""checkbox-616-3""></label> </p> </div>","[#32284:Braviary]","Sydybean","3673","3367","80x80","Super","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","617"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-617-3"" data-testid=""checkbox-617"" data-tpt-row-id=""31379"" data-table-id=""3""> <label for=""checkbox-617-3""></label> </p> </div>","[#31379:Clown]","belko61","3215","3215","80x80","People","Games","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","618"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-618-3"" data-testid=""checkbox-618"" data-tpt-row-id=""30417"" data-table-id=""3""> <label for=""checkbox-618-3""></label> </p> </div>","[#30417:Minesweeper Complete]","Mirul98","3466","3466","80x80","Games","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyload"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","619"
