"0%","Puzzle ID:Puzzle Name","Author","XP<br><small>(before v21.0)</small>","<span typeof=""mw:File""><a href=""/wiki/Levelling#Experience"" title=""Levelling""><img alt=""Experience"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element"" data-image-name=""Experience.png"" data-image-key=""Experience.png"" data-relevant=""1""></a></span><br>XP","Size","Category 1","Category 2","Puzzle<br>type","Added"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-5-3"" data-testid=""checkbox-5"" data-tpt-row-id=""145487"" data-table-id=""3""> <label for=""checkbox-5-3""></label> </p> </div>","[#145487:Tabby Cat]","izi","4581","4199","80x80","Cats","Photorealism","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","6"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-6-3"" data-testid=""checkbox-6"" data-tpt-row-id=""184546"" data-table-id=""3""> <label for=""checkbox-6-3""></label> </p> </div>","[#184546:honkai star rail]","laixxn","5374","4961","80x80","Anime","Video","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","7"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-7-3"" data-testid=""checkbox-7"" data-tpt-row-id=""43486"" data-table-id=""3""> <label for=""checkbox-7-3""></label> </p> </div>","[#43486:Blazing sun]","RNKT16","3182","3182","74x67","Nature","Painting","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","8"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-8-3"" data-testid=""checkbox-8"" data-tpt-row-id=""47965"" data-table-id=""3""> <label for=""checkbox-8-3""></label> </p> </div>","[#47965:a Kiss]","Bramati","3255","3255","80x80","People","Love","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","9"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-9-3"" data-testid=""checkbox-9"" data-tpt-row-id=""162111"" data-table-id=""3""> <label for=""checkbox-9-3""></label> </p> </div>","[#162111:Vintage holiday ornaments]","kristin1973","3553","3257","80x80","Holidays","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","10"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-10-3"" data-testid=""checkbox-10"" data-tpt-row-id=""73831"" data-table-id=""3""> <label for=""checkbox-10-3""></label> </p> </div>","[#73831:Sunny day]","Zipfish","3429","3429","80x80","Nature","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","11"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-11-3"" data-testid=""checkbox-11"" data-tpt-row-id=""190238"" data-table-id=""3""> <label for=""checkbox-11-3""></label> </p> </div>","[#190238:Owl]","K0rv0","3124","3124","80x80","Birds","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","12"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-12-3"" data-testid=""checkbox-12"" data-tpt-row-id=""101178"" data-table-id=""3""> <label for=""checkbox-12-3""></label> </p> </div>","[#101178:Tom and Jerry]","Andrei Gh0st","3266","3266","80x80","Cartoon","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" class=""mw-file-description image""><img alt=""True nonogram icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""True nonogram icon.png"" data-image-key=""True_nonogram_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/9c/True_nonogram_icon.png/revision/latest?cb=20220220084725""></a></span>","13"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-13-3"" data-testid=""checkbox-13"" data-tpt-row-id=""8408"" data-table-id=""3""> <label for=""checkbox-13-3""></label> </p> </div>","[#8408:Garden Cat Murchik]","VIKCAT","3450","3162","80x80","Cats","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Contradictions method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Contradictions method icon.png"" data-image-key=""Contradictions_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/7/71/Contradictions_method_icon.png/revision/latest?cb=20220306085858""></a></span>","14"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-14-3"" data-testid=""checkbox-14"" data-tpt-row-id=""191411"" data-table-id=""3""> <label for=""checkbox-14-3""></label> </p> </div>","[#191411:Flowers]","K0rv0","3231","3231","80x80","Flowers","Photorealism","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","15"
